LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	3PTM	3PTA	3PT%	FGM	FGA	FG%	FTM	FTA	FT%	OR	DR	TR	AST	PF	DF	ST	TO	BLK	BLKA	VAL	+ / -
Motley J., Calathes N., Hayes N., Wilbekin S., Biberovic T.	FBD	7.5	11	4	8	50%	1	5	20%	5	13	38%	0	0	-	3	4	7	1	2	1	0	2	1	0	9	-6
Jones C., Webb J., Rivero J., Hermannsson M., Lopez-Arostegui X.	VBC	1.3	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	1	1	0	0	1	0	2	0	0	2	2
Webb J., Harper J., Rivero J., Hermannsson M., Lopez-Arostegui X.	VBC	6.7	13	1	3	33%	3	4	75%	4	7	57%	2	2	100%	0	4	4	4	7	3	0	4	0	0	10	-1
Harper J., Rivero J., Hermannsson M., Claver V., Lopez-Arostegui X.	VBC	3.9	13	1	2	50%	3	3	100%	4	5	80%	2	2	100%	0	2	2	3	3	3	1	1	0	0	17	9
Booker D., Guduric M., Hayes N., Wilbekin S., Dorsey T.	FBD	1.9	4	2	2	100%	0	0	-	2	2	100%	0	2	0%	0	1	1	0	2	3	0	1	0	0	3	-1
Webb J., Harper J., Hermannsson M., Claver V., Lopez-Arostegui X.	VBC	0.8	2	0	0	-	0	1	0%	0	1	0%	2	4	50%	1	1	2	0	1	2	0	0	0	0	2	-1
Booker D., Guduric M., Calathes N., Hayes N., Biberovic T.	FBD	2.2	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	1	1	0	2	1	0	1	0	0	2	-7
Motley J., Guduric M., Calathes N., Hayes N., Biberovic T.	FBD	0.8	0	0	0	-	0	2	0%	0	2	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-3	-2
Jones C., Harper J., Rivero J., Claver V., Lopez-Arostegui X.	VBC	1	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	1	0	0	1	0	0	-3	-3
Booker D., Motley J., Hayes N., Wilbekin S., Biberovic T.	FBD	0.7	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	1	1	1	0	0	0	0	1	0	5	0
Guduric M., Hayes N., Wilbekin S., Biberovic T., Dorsey T.	FBD	0.1	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	0	0	0	0	0	0	0	0	0	3	3
Jones C., Webb J., Harper J., Rivero J., Claver V.	VBC	4.2	9	1	2	50%	2	2	100%	3	4	75%	1	2	50%	0	2	2	3	2	2	0	3	0	0	9	-3
Voigtmann J., Pangos K., Melli N., Tonut S., Luwawu-Cabarrot T.	MIL	2.7	2	1	1	100%	0	2	0%	1	3	33%	0	0	-	0	3	3	1	1	1	0	0	1	0	5	-2
Voigtmann J., Pangos K., Hines K., Tonut S., Luwawu-Cabarrot T.	MIL	2.3	2	1	3	33%	0	1	0%	1	4	25%	0	0	-	1	1	2	1	3	0	0	3	0	0	-4	-8
Davies B., Ricci G., Pangos K., Hines K., Tonut S.	MIL	2.5	0	0	3	0%	0	2	0%	0	5	0%	0	0	-	2	0	2	0	0	1	0	1	0	0	-3	0
Davies B., Pangos K., Hines K., Napier S., Tonut S.	MIL	1.8	1	0	1	0%	0	1	0%	0	2	0%	1	2	50%	0	2	2	1	0	1	0	1	0	0	1	-4
Causeur F., Yabusele G., Fernandez R., Rodriguez S., Poirier V.	RMB	5	10	2	5	40%	2	3	67%	4	8	50%	0	0	-	0	5	5	2	3	1	0	1	0	1	9	-1
Ricci G., Hines K., Melli N., Napier S., Luwawu-Cabarrot T.	MIL	1.6	2	0	1	0%	0	0	-	0	1	0%	2	2	100%	0	1	1	0	2	1	0	0	0	0	1	-4
Abalde A., Musa D., Deck G., Fernandez R., Tavares W.	RMB	1.6	6	2	2	100%	0	1	0%	2	3	67%	2	2	100%	1	1	2	0	0	3	0	0	0	0	10	6
Voigtmann J., Pangos K., Melli N., Napier S., Luwawu-Cabarrot T.	MIL	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	1	0	0	-2	0
Baron B., Voigtmann J., Pangos K., Melli N., Luwawu-Cabarrot T.	MIL	0.3	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	0	1	0	0	0	0	3	2
Baron B., Davies B., Pangos K., Melli N., Luwawu-Cabarrot T.	MIL	1.6	2	0	1	0%	0	0	-	0	1	0%	2	2	100%	0	0	0	1	0	1	1	1	0	1	2	-2
Davies B., Ricci G., Pangos K., Tonut S., Luwawu-Cabarrot T.	MIL	1.4	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	2	0	0	-1	-5
Davies B., Pangos K., Melli N., Napier S., Luwawu-Cabarrot T.	MIL	1.6	5	1	1	100%	1	1	100%	2	2	100%	0	0	-	0	2	2	0	2	1	0	1	0	0	5	3
Voigtmann J., Hines K., Napier S., Tonut S., Luwawu-Cabarrot T.	MIL	3.6	17	1	1	100%	5	5	100%	6	6	100%	0	1	0%	0	1	1	3	1	1	0	0	0	0	20	3
Davies B., Voigtmann J., Pangos K., Napier S., Tonut S.	MIL	2.1	7	0	0	-	2	5	40%	2	5	40%	1	2	50%	1	1	2	2	2	1	0	2	0	0	4	3
Gudaitis A., Bochoridis E., Mantzoukas E., Grigonis M., Ponitka M.	PAO	1.6	5	1	1	100%	1	1	100%	2	2	100%	0	1	0%	0	1	1	1	1	1	0	0	0	0	6	5
Tyus A., Diot A., De Colo N., Obasohan R., Pons Y.	ASV	1.2	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	-7
Diot A., De Colo N., Obasohan R., Fall Y., Pons Y.	ASV	2.6	2	1	2	50%	0	1	0%	1	3	33%	0	0	-	0	1	1	0	0	1	0	1	0	0	1	-5
Lighty D., Bost D., De Colo N., Fall Y., Pons Y.	ASV	5.3	14	2	2	100%	3	6	50%	5	8	63%	1	2	50%	0	2	2	4	1	3	1	0	1	0	20	0
Williams D., Bochoridis E., Mantzoukas E., Grigonis M., Ponitka M.	PAO	0.8	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	1	0	0	-2	-6
Tyus A., Lighty D., Bost D., De Colo N., Pons Y.	ASV	0.6	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	1	1	0	2	0	0	0	0	0	-2	-5
Kahudi C., Lighty D., Bost D., Mathews J., Fall Y.	ASV	7.5	9	3	8	38%	1	2	50%	4	10	40%	0	0	-	1	2	3	0	2	1	0	3	0	1	1	-15
Tyus A., Kahudi C., Lighty D., Bost D., Mathews J.	ASV	2.7	4	2	3	67%	0	3	0%	2	6	33%	0	0	-	2	1	3	1	1	1	0	0	0	0	4	3
Bochoridis E., Mantzoukas E., Papagiannis G., Grigonis M., Thomas M.	PAO	0.3	0	0	1	0%	0	0	-	0	1	0%	0	0	-	1	0	1	0	0	0	0	1	0	1	-2	0
Bacon D., Bochoridis E., Mantzoukas E., Papagiannis G., Grigonis M.	PAO	1.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	2	0	0	0	0	0	-3	-2
Noua A., Diot A., De Colo N., Obasohan R., Pons Y.	ASV	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-2
Noua A., Lighty D., Bost D., De Colo N., Pons Y.	ASV	3.7	11	4	6	67%	1	4	25%	5	10	50%	0	0	-	2	2	4	3	1	1	1	1	0	1	12	4
Bentil B., Campazzo F., Martin H., Vildoza L., Lazarevic S.	CZV	8.6	13	4	10	40%	0	4	0%	4	14	29%	5	5	100%	2	3	5	4	3	6	2	1	0	1	15	-7
Campazzo F., Petrusev F., Mitrovic L., Ivanovic N., Markovic S.	CZV	6.2	13	5	7	71%	0	3	0%	5	10	50%	3	4	75%	2	5	7	3	3	2	2	0	0	0	18	8
Bentil B., Campazzo F., Martin H., Ivanovic N., Lazarevic S.	CZV	0.4	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	0
Campazzo F., Petrusev F., Mitrovic L., Ivanovic N., Lazarevic S.	CZV	4.6	7	1	4	25%	1	1	100%	2	5	40%	2	2	100%	1	0	1	2	1	2	0	2	0	0	6	-3
Campazzo F., Petrusev F., Mitrovic L., Lazarevic S., Markovic S.	CZV	1.1	3	0	1	0%	1	1	100%	1	2	50%	0	0	-	0	1	1	0	0	0	0	0	0	0	3	1
Abrines A., Laprovittola N., Kalinic N., Mirotic N., Sanli S.	FCB	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	1	0	0	-1	-3
Bentil B., Campazzo F., Martin H., Vildoza L., Markovic S.	CZV	4	10	2	3	67%	2	5	40%	4	8	50%	0	0	-	1	2	3	2	2	2	2	1	1	0	13	3
Vesely J., Kalinic N., Da Silva O., Jokubaitis R., Satoransky T.	FCB	1.4	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	2	0	0	-3	-4
Bentil B., Campazzo F., Petrusev F., Vildoza L., Markovic S.	CZV	2.7	5	2	3	67%	0	3	0%	2	6	33%	1	1	100%	2	0	2	1	2	1	0	1	0	0	2	-8
Bentil B., Petrusev F., Vildoza L., Ivanovic N., Markovic S.	CZV	2.4	4	2	2	100%	0	1	0%	2	3	67%	0	0	-	0	1	1	1	1	3	1	1	0	0	7	1
Vesely J., Kalinic N., Pauli O., Da Silva O., Jokubaitis R.	FCB	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	1	0	0	0	0	0	0	0
Bentil B., Campazzo F., Petrusev F., Ivanovic N., Lazarevic S.	CZV	2.8	7	0	2	0%	1	2	50%	1	4	25%	4	4	100%	1	3	4	2	2	2	0	0	0	0	10	2
Bentil B., Campazzo F., Petrusev F., Vildoza L., Lazarevic S.	CZV	0.3	3	0	0	-	1	1	100%	1	1	100%	0	0	-	0	0	0	0	0	0	0	0	0	0	3	3
Walden C., Gillespie F., Bonga I., Weiler-Babb N., Lucic V.	BAY	4.5	4	1	2	50%	0	3	0%	1	5	20%	2	2	100%	1	4	5	0	4	2	0	1	1	1	2	1
Lammers B., Smith J., Olinde L., Lo M., Schneider T.	BER	8.9	20	4	9	44%	3	8	38%	7	17	41%	3	3	100%	3	8	11	2	4	3	0	1	1	2	20	7
Walden C., Weiler-Babb N., Giffey N., Lucic V., Cheatham Z.	BAY	1.3	3	0	1	0%	1	1	100%	1	2	50%	0	0	-	0	0	0	0	2	0	0	0	0	0	0	-1
Obst A., Winston C., Gillespie F., Bonga I., Giffey N.	BAY	3.3	10	3	4	75%	1	2	50%	4	6	67%	1	2	50%	0	2	2	3	2	2	2	2	0	1	11	3
Obst A., Walden C., Gillespie F., Bonga I., Lucic V.	BAY	1.5	6	0	0	-	2	2	100%	2	2	100%	0	0	-	0	1	1	2	1	2	0	0	0	0	10	5
Obst A., Walden C., Bonga I., Giffey N., Cheatham Z.	BAY	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	1	0	0	0	0	1	0
Walden C., Bonga I., Weiler-Babb N., Giffey N., Cheatham Z.	BAY	3.7	6	1	2	50%	1	5	20%	2	7	29%	1	2	50%	3	1	4	2	2	1	0	1	0	0	4	-3
Winston C., Bonga I., Weiler-Babb N., Giffey N., Cheatham Z.	BAY	2.1	5	0	1	0%	1	1	100%	1	2	50%	2	2	100%	0	1	1	1	1	2	0	1	0	0	6	-1
Winston C., Weiler-Babb N., Giffey N., Lucic V., Cheatham Z.	BAY	1.9	3	0	0	-	1	3	33%	1	3	33%	0	0	-	1	1	2	1	1	0	1	1	0	0	3	-1
Lammers B., Procida G., Smith J., Blatt T., Schneider T.	BER	1.6	2	1	1	100%	0	2	0%	1	3	33%	0	0	-	1	0	1	1	0	0	0	0	0	0	2	-1
Winston C., Bonga I., Weiler-Babb N., Lucic V., Cheatham Z.	BAY	3.6	9	3	5	60%	1	1	100%	4	6	67%	0	0	-	0	1	1	2	3	0	1	0	0	0	8	3
Obst A., Winston C., Bonga I., Giffey N., Cheatham Z.	BAY	1.2	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	1	0	0	0	0	0	0	3	-2
Bonga I., Weiler-Babb N., Giffey N., Lucic V., Cheatham Z.	BAY	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-2
Obst A., Weiler-Babb N., Giffey N., Lucic V., Cheatham Z.	BAY	8.1	19	5	9	56%	1	4	25%	6	13	46%	6	9	67%	3	4	7	3	3	8	3	2	0	1	24	7
Edwards C., Motley J., Guduric M., Hayes N., Biberovic T.	FBD	7.2	14	3	6	50%	0	4	0%	3	10	30%	8	10	80%	3	3	6	0	3	7	1	1	0	1	14	0
Baron B., Voigtmann J., Hines K., Tonut S., Luwawu-Cabarrot T.	MIL	5.5	10	5	6	83%	0	4	0%	5	10	50%	0	0	-	2	4	6	2	2	0	0	1	2	0	12	0
Edwards C., Booker D., Motley J., Guduric M., Biberovic T.	FBD	3.8	6	2	4	50%	0	3	0%	2	7	29%	2	2	100%	2	2	4	0	3	1	0	0	0	1	2	-5
Baron B., Thomas D., Hines K., Mitrou-Long N., Napier S.	MIL	0.1	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	0
Edwards C., Booker D., Motley J., Hazer S., Biberovic T.	FBD	0.1	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0
Edwards C., Booker D., Motley J., Calathes N., Biberovic T.	FBD	0.8	0	0	2	0%	0	0	-	0	2	0%	0	0	-	1	0	1	0	0	2	0	0	0	0	1	-3
Edwards C., Booker D., Bjelica N., Calathes N., Biberovic T.	FBD	2.2	6	1	3	33%	1	3	33%	2	6	33%	1	2	50%	2	3	5	2	0	2	1	0	0	0	11	6
Booker D., Guduric M., Bjelica N., Hayes N., Wilbekin S.	FBD	1	0	0	0	-	0	2	0%	0	2	0%	0	0	-	0	0	0	0	0	0	1	0	0	0	-1	0
Booker D., Guduric M., Hayes N., Wilbekin S., Biberovic T.	FBD	4.1	9	4	7	57%	0	0	-	4	7	57%	1	2	50%	0	3	3	1	3	2	1	0	0	0	9	3
Davies B., Thomas D., Ricci G., Napier S., Tonut S.	MIL	0.7	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	1	1	0	0	1	0	0	0	0	2	1
Davies B., Thomas D., Napier S., Tonut S., Luwawu-Cabarrot T.	MIL	0.5	0	0	0	-	0	0	-	0	0	-	0	0	-	0	1	1	0	1	0	0	1	0	0	-1	-3
Booker D., Motley J., Calathes N., Wilbekin S., Biberovic T.	FBD	0.8	2	1	2	50%	0	0	-	1	2	50%	0	0	-	1	1	2	0	0	0	0	0	0	0	3	2
Edwards C., Booker D., Guduric M., Bjelica N., Wilbekin S.	FBD	3.1	2	0	2	0%	0	3	0%	0	5	0%	2	2	100%	2	1	3	0	2	4	1	1	0	0	2	2
Thomas D., Hines K., Mitrou-Long N., Napier S., Luwawu-Cabarrot T.	MIL	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0
Thomas D., Ricci G., Mitrou-Long N., Melli N., Luwawu-Cabarrot T.	MIL	0.4	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	3	0	0	0	0	0	-3	-2
Thomas D., Mitrou-Long N., Melli N., Tonut S., Luwawu-Cabarrot T.	MIL	0.1	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	0	0	0	0	0	0	0	0
Davies B., Mitrou-Long N., Melli N., Napier S., Luwawu-Cabarrot T.	MIL	2.9	2	1	2	50%	0	0	-	1	2	50%	0	0	-	1	2	3	1	3	2	0	2	0	0	2	-3
Davies B., Mitrou-Long N., Melli N., Napier S., Tonut S.	MIL	2.6	5	1	2	50%	1	1	100%	2	3	67%	0	0	-	0	0	0	0	1	1	1	1	0	0	4	-2
Edwards C., Booker D., Guduric M., Mahmutoglu M., Bjelica N.	FBD	0.5	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	1	0	0	0	0	1	-2
Campazzo F., Petrusev F., Martin H., Vildoza L., Lazarevic S.	CZV	9.9	25	9	12	75%	2	4	50%	11	16	69%	1	2	50%	1	7	8	6	8	4	2	5	0	0	26	0
Kurucs A., Costello M., Raieste S., Enoch S., Marinkovic V.	BSK	1.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	-7
Thompson D., Costello M., Raieste S., Enoch S., Marinkovic V.	BSK	4.1	9	3	3	100%	1	1	100%	4	4	100%	0	0	-	0	5	5	3	5	2	1	3	1	0	13	5
Campazzo F., Petrusev F., Martin H., Vildoza L., Nedovic N.	CZV	0.6	1	0	0	-	0	1	0%	0	1	0%	1	2	50%	0	0	0	1	0	1	0	0	0	0	1	-1
Howard M., Costello M., Heidegger M., Enoch S., Marinkovic V.	BSK	3.2	7	0	1	0%	2	4	50%	2	5	40%	1	1	100%	0	1	1	2	4	1	0	2	0	0	2	-7
Bentil B., Campazzo F., Martin H., Dobric O., Markovic S.	CZV	3.1	8	3	3	100%	0	3	0%	3	6	50%	2	3	67%	2	3	5	2	2	3	1	0	0	0	13	8
Howard M., Heidegger M., Giedraitis R., Enoch S., Marinkovic V.	BSK	0.4	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	-3
Kurucs A., Kotsar M., Howard M., Costello M., Giedraitis R.	BSK	0.6	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	0	0	0	0	0	0	0	-2
Bentil B., Campazzo F., Mitrovic L., Nedovic N., Dobric O.	CZV	5.3	10	4	10	40%	0	2	0%	4	12	33%	2	3	67%	3	4	7	2	2	3	2	1	0	0	12	8
Kurucs A., Kotsar M., Howard M., Heidegger M., Giedraitis R.	BSK	0.4	3	0	0	-	1	2	50%	1	2	50%	0	0	-	1	0	1	1	0	0	0	0	0	0	4	3
Campazzo F., Mitrovic L., Nedovic N., Dobric O., Markovic S.	CZV	0.4	2	1	1	100%	0	1	0%	1	2	50%	0	0	-	1	0	1	0	0	0	0	0	0	0	2	2
Kurucs A., Diez D., Kotsar M., Giedraitis R., Raieste S.	BSK	0.4	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-2
Kurucs A., Diez D., Kotsar M., Howard M., Giedraitis R.	BSK	0.9	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	1	1	0	0	0	0	2	-3
Campazzo F., Petrusev F., Martin H., Dobric O., Markovic S.	CZV	3.7	6	1	3	33%	1	4	25%	2	7	29%	1	1	100%	1	3	4	1	2	2	0	1	0	1	4	0
Campazzo F., Petrusev F., Martin H., Nedovic N., Dobric O.	CZV	1.9	3	0	0	-	1	1	100%	1	1	100%	0	2	0%	0	1	1	1	2	1	0	2	1	0	1	-1
Williams D., Bochoridis E., Papagiannis G., Grigonis M., Wolters N.	PAO	0.6	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	1	1	0	0	1	0	0	0	0	1	-3
Williams D., Bochoridis E., Mantzoukas E., Papagiannis G., Grigonis M.	PAO	0.6	2	1	1	100%	0	0	-	1	1	100%	0	0	-	0	0	0	0	1	0	0	0	0	0	1	0
Williams D., Bochoridis E., Mantzoukas E., Papagiannis G., Lee P.	PAO	2.1	7	2	2	100%	1	1	100%	3	3	100%	0	0	-	0	0	0	3	1	2	1	0	0	0	12	3
Gudaitis A., Agravanis D., Bochoridis E., Mantzoukas E., Lee P.	PAO	1.8	0	0	1	0%	0	0	-	0	1	0%	0	2	0%	0	0	0	0	2	1	1	0	0	0	-3	-4
Gudaitis A., Agravanis D., Mantzoukas E., Wolters N., Lee P.	PAO	1.5	0	0	1	0%	0	1	0%	0	2	0%	0	0	-	0	0	0	0	2	1	0	0	0	0	-3	-5
Tobey M., Laprovittola N., Kalinic N., Da Silva O., Jokubaitis R.	FCB	3.2	7	2	3	67%	1	1	100%	3	4	75%	0	0	-	0	4	4	2	3	1	0	1	0	0	9	5
Tobey M., Laprovittola N., Kalinic N., Mirotic N., Jokubaitis R.	FCB	0.5	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	1	0	0	-1	-2
Abrines A., Higgins C., Tobey M., Mirotic N., Satoransky T.	FCB	2.7	12	1	1	100%	3	6	50%	4	7	57%	1	2	50%	3	1	4	4	0	1	1	0	0	0	18	9
Williams D., Mantzoukas E., Papagiannis G., Wolters N., Kalaitzakis P.	PAO	0.9	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	1	0	0	-1	-6
Gudaitis A., Williams D., Grigonis M., Thomas M., Wolters N.	PAO	1.2	3	0	0	-	1	2	50%	1	2	50%	0	0	-	0	0	0	1	1	0	0	0	0	0	2	-4
Abrines A., Tobey M., Laprovittola N., Mirotic N., Satoransky T.	FCB	8.4	30	5	5	100%	5	7	71%	10	12	83%	5	5	100%	1	6	7	7	6	3	1	2	0	0	38	8
Gudaitis A., Williams D., Bochoridis E., Grigonis M., Thomas M.	PAO	2.5	9	0	1	0%	1	1	100%	1	2	50%	6	6	100%	0	1	1	1	1	4	0	0	0	0	13	0
Gudaitis A., Agravanis D., Bochoridis E., Grigonis M., Thomas M.	PAO	1.4	4	2	3	67%	0	0	-	2	3	67%	0	1	0%	1	0	1	1	1	1	0	1	0	0	3	0
Agravanis D., Bochoridis E., Papagiannis G., Grigonis M., Thomas M.	PAO	1.5	2	1	2	50%	0	0	-	1	2	50%	0	0	-	0	0	0	1	1	0	2	1	0	0	2	0
Agravanis D., Bochoridis E., Papagiannis G., Thomas M., Lee P.	PAO	0.7	0	0	1	0%	0	0	-	0	1	0%	0	0	-	0	0	0	0	0	1	0	0	0	0	0	0
Agravanis D., Mantzoukas E., Papagiannis G., Thomas M., Lee P.	PAO	4.3	8	3	4	75%	0	4	0%	3	8	38%	2	3	67%	1	3	4	2	3	3	2	0	1	0	11	5
Mantzoukas E., Papagiannis G., Grigonis M., Thomas M., Lee P.	PAO	5.6	9	3	6	50%	0	4	0%	3	10	30%	3	5	60%	3	1	4	3	4	4	3	1	0	0	9	-1
Mantzoukas E., Papagiannis G., Grigonis M., Kalaitzakis P., Lee P.	PAO	6.1	11	0	3	0%	3	5	60%	3	8	38%	2	2	100%	1	3	4	2	3	2	0	0	1	1	11	-3
Koumadje C., Procida G., Mattisseck J., Blatt T., Schneider T.	BER	3.3	4	2	2	100%	0	2	0%	2	4	50%	0	0	-	0	2	2	2	4	0	1	3	0	0	0	-1
M'Baye A., Singleton C., Bryant E., Micic V., Clyburn W.	EFS	1.1	2	1	2	50%	0	0	-	1	2	50%	0	0	-	1	1	2	0	0	0	0	0	1	0	4	-1
Smith J., Olinde L., Blatt T., Schneider T., Wetzell Y.	BER	1.7	7	2	3	67%	1	2	50%	3	5	60%	0	0	-	1	0	1	3	3	0	1	0	0	0	7	3
Procida G., Smith J., Blatt T., Schneider T., Wetzell Y.	BER	1	0	0	1	0%	0	1	0%	0	2	0%	0	0	-	0	0	0	0	1	0	0	1	0	0	-4	-4
Procida G., Mattisseck J., Blatt T., Schneider T., Wetzell Y.	BER	3.3	4	1	1	100%	0	2	0%	1	3	33%	2	2	100%	0	0	0	1	3	3	2	3	0	0	2	-8
Smith J., Olinde L., Sikma L., Lo M., Blatt T.	BER	0.8	5	1	2	50%	1	1	100%	2	3	67%	0	0	-	1	1	2	1	0	0	0	0	0	0	7	5
Koumadje C., Olinde L., Sikma L., Lo M., Blatt T.	BER	1.5	3	1	3	33%	0	0	-	1	3	33%	1	1	100%	0	2	2	1	0	2	0	0	0	0	6	1
Koumadje C., Smith J., Mattisseck J., Sikma L., Lo M.	BER	0.5	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	0	1	0	0	0	0	3	0
Bryant E., Beaubois R., Larkin S., Pleiss T., Micic V.	EFS	1.2	7	2	2	100%	1	1	100%	3	3	100%	0	0	-	0	0	0	1	2	0	0	0	0	0	6	3
Koumadje C., Smith J., Mattisseck J., Olinde L., Lo M.	BER	0.4	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	0	1	0	0	0	0	3	-1
Singleton C., Bryant E., Beaubois R., Larkin S., Micic V.	EFS	0.8	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	0	0	0	0	0	0	-1	-5
Hilliard D., Dibartolomeo J., Brown L., Menco R., Baldwin W.	MTA	0.1	2	0	0	-	0	0	-	0	0	-	2	2	100%	0	0	0	0	0	1	0	0	0	0	3	2
Colson B., Hilliard D., Martin J., Brown L., Sorkin R.	MTA	1.5	0	0	0	-	0	2	0%	0	2	0%	0	0	-	1	0	1	0	2	0	0	0	0	0	-3	-3
Hilliard D., Cohen J., Martin J., Dibartolomeo J., Sorkin R.	MTA	2.6	5	0	0	-	1	2	50%	1	2	50%	2	2	100%	0	2	2	2	2	1	1	2	1	0	7	2
Tyus A., Noua A., Mathews J., Obasohan R., Risacher Z.	ASV	2.6	4	2	7	29%	0	0	-	2	7	29%	0	0	-	4	0	4	0	1	1	1	1	0	1	2	-1
Hilliard D., Cohen J., Martin J., Menco R., Sorkin R.	MTA	0.7	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	-2
Booker D., Guduric M., Hayes N., Jekiri T., Dorsey T.	FBD	6.1	13	2	3	67%	3	5	60%	5	8	63%	0	0	-	0	3	3	2	0	5	1	0	0	0	21	7
Edwards C., Booker D., Hayes N., Jekiri T., Dorsey T.	FBD	3.5	6	2	5	40%	0	0	-	2	5	40%	2	2	100%	1	1	2	1	0	3	1	2	0	1	7	-3
Edwards C., Booker D., Biberovic T., Jekiri T., Dorsey T.	FBD	0.7	2	0	1	0%	0	1	0%	0	2	0%	2	2	100%	1	0	1	0	0	1	0	0	0	0	2	-1
Edwards C., Hayes N., Biberovic T., Jekiri T., Dorsey T.	FBD	0.3	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	1	0	0	0	0	0	-1	-2
Edwards C., Guduric M., Hayes N., Biberovic T., Jekiri T.	FBD	2.7	9	4	6	67%	0	1	0%	4	7	57%	1	1	100%	2	1	3	2	3	1	0	0	1	0	10	4
Edwards C., Booker D., Guduric M., Hayes N., Biberovic T.	FBD	1.4	6	0	0	-	2	3	67%	2	3	67%	0	0	-	0	1	1	2	1	0	0	0	0	0	7	3
Butkevicius A., Ulanovas E., Taylor I., Birutis L., Dimsa T.	ZAL	2.2	4	2	3	67%	0	0	-	2	3	67%	0	1	0%	1	0	1	1	3	3	1	2	0	0	3	3
Polonara A., Butkevicius A., Ulanovas E., Taylor I., Dimsa T.	ZAL	0.8	0	0	1	0%	0	1	0%	0	2	0%	0	2	0%	0	2	2	0	0	1	0	0	0	0	-1	-2
Butkevicius A., Ulanovas E., Taylor I., Hayes K., Dimsa T.	ZAL	0.2	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	1	0	0	0	0	0	-2	0
Motley J., Guduric M., Calathes N., Hayes N., Dorsey T.	FBD	17	38	7	15	47%	2	9	22%	9	24	38%	18	26	69%	6	11	17	8	10	13	4	3	1	0	45	10
Guduric M., Hayes N., Biberovic T., Jekiri T., Dorsey T.	FBD	10.9	24	8	14	57%	1	3	33%	9	17	53%	5	6	83%	3	4	7	2	5	6	0	2	0	2	21	4
Polonara A., Ulanovas E., Taylor I., Lukosiunas K., Smits R.	ZAL	0.8	0	0	0	-	0	1	0%	0	1	0%	0	0	-	0	0	0	0	1	0	0	1	0	0	-3	-2
